epoch	KLD	GAN	GAN_FT	VGG	D_fake	D_real
1	1.256	-0.195	12.386	7.748	1.573	0.116
2	0.322	0.337	9.525	8.181	1.340	0.282
3	1.477	0.848	11.309	7.673	0.412	0.681
4	2.031	0.548	13.633	10.413	0.571	0.017
5	0.901	1.732	12.654	8.822	1.038	0.830
6	1.031	0.264	11.864	8.362	1.423	0.224
7	0.886	2.178	9.826	7.975	0.304	1.505
8	0.954	0.161	8.526	7.692	1.565	0.342
9	1.104	0.210	13.522	6.349	0.423	0.033
10	1.111	0.155	14.556	8.620	1.469	0.000
11	0.751	0.891	11.008	9.390	0.743	0.284
12	1.038	1.069	9.904	8.748	0.241	0.407
13	1.708	0.097	10.851	7.214	1.241	0.178
14	0.606	0.909	12.028	8.627	0.171	0.496
15	1.456	0.521	11.198	8.518	0.887	0.100
16	0.815	1.601	8.655	6.257	0.167	0.818
17	1.594	0.053	12.606	10.326	1.416	0.020
18	1.121	1.147	8.160	7.400	0.001	1.885
19	0.822	1.296	7.598	7.074	0.048	1.982
20	2.066	1.123	9.394	7.947	0.733	0.079
21	0.896	0.361	11.851	10.379	0.764	0.203
22	0.862	-0.999	10.600	8.192	1.680	0.603
23	1.395	0.867	9.101	10.070	0.527	0.735
24	1.474	0.196	11.713	10.202	1.329	0.038
25	1.325	1.133	10.754	9.977	0.085	1.615
26	1.945	0.012	10.026	13.088	0.931	0.052
27	1.635	0.852	8.795	18.866	0.323	0.515
28	1.678	1.706	14.749	28.772	0.416	0.091
29	2.034	0.208	9.484	28.729	1.019	0.333
30	2.492	1.612	9.790	36.527	0.112	0.423
31	2.087	1.787	9.380	41.062	0.958	1.079
32	4.052	0.874	11.781	28.136	0.708	0.207
33	1.190	0.321	13.710	40.996	1.090	0.000
34	1.311	2.494	9.980	38.822	0.002	0.605
35	1.604	1.128	9.176	32.394	0.649	1.857
36	1.090	0.993	12.834	57.904	0.851	0.005
37	4.565	1.973	11.116	30.925	0.005	1.341
38	1.770	1.123	11.964	28.906	0.161	1.138
